시군명,사업장명,소재지우편번호,소재지도로명주소,소재지지번주소,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,WGS84위도,WGS84경도,구명,읍면동명,리계,나머지주소,도명
성남시,릴리펏 위례점,461-210,"경기도 성남시 수정구 위례광장로 5, 위례우남역아이파크 2층 213일부호,214일부호 (창곡동)","경기도 성남시 수정구 창곡동 560 위례우남역아이파크, 2층 213일부호, 214일부호 ",2018-10-02,영업,,Y,97.6,,키즈카페,37.4650302953,127.1416093524,수정구,창곡동,,"560 위례우남역아이파크, 2층 213일부호, 214일부호",경기도
성남시,리틀하이레스토랑 위례점,461-210,"경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 9층 909호,910일부호 (창곡동)","경기도 성남시 수정구 창곡동 509 위례중앙역 중앙타워, 9층 909호, 910호 일부 ",2018-07-30,폐업,2023-04-10,N,73.7,,키즈카페,37.4734793704,127.1426886465,수정구,창곡동,,"509 위례중앙역 중앙타워, 9층 909호, 910호 일부",경기도
성남시,리틀두두,463-831,"경기도 성남시 분당구 장안로 39 (분당동, 한일빌딩 2층일부)",경기도 성남시 분당구 분당동 90-1 한일빌딩 2층일부 ,2014-01-24,폐업,2023-12-29,Y,55.46,,키즈카페,37.3704636672,127.1434601531,분당구,분당동,,90-1 한일빌딩 2층일부,경기도
성남시,릴리펏 판교알파돔시티점,463-420,"경기도 성남시 분당구 판교역로 145 (백현동, 알파리움 타워2동 지하1층 B123호, B124호, B125호 일부)","경기도 성남시 분당구 백현동 530 알파리움 타워2동 지하1층 B123호, B124호, B125호 일부 ",2016-04-28,폐업,2024-05-14,Y,247.0,,키즈카페,37.3935094998,127.1084872517,분당구,백현동,,"530 알파리움 타워2동 지하1층 B123호, B124호, B125호 일부",경기도
성남시,위키(WIKI),463440,"경기도 성남시 분당구 운중로126번길 9, 1층 (운중동)",경기도 성남시 분당구 운중동 933-5 1층,20141208,영업,,N,117.57,,키즈카페,37.390679929,127.077288459,분당구,운중동,,933-5 1층,경기도
성남시,퐁퐁플라워에이치엔앰컴퍼니,463808,"경기도 성남시 분당구 미금일로90번길 32, 지하1층 B101(일부)호 (구미동)",경기도 성남시 분당구 구미동 30,20190416,영업,,N,55.0,,키즈카페,37.3489427626,127.110468852,분당구,구미동,,30,경기도
성남시,꼬물상,463864,"경기도 성남시 분당구 돌마로366번길 42 (수내동, 동한프라자   3층 일부)",경기도 성남시 분당구 수내동 83-1 동한프라자   3층 일부,20131203,영업,,Y,134.97,,키즈카페,37.3671671045,127.126738858,분당구,수내동,,83-1 동한프라자 3층 일부,경기도
성남시,아이조아키즈카페,463834,"경기도 성남시 분당구 정자로76번길 11, 5층 501-1호 (정자동, 한라프라자)",경기도 성남시 분당구 정자동 130-3번지 한라프라자 5층 501-1호,20150824,폐업,20180904,N,16.9,,키즈카페,37.362365378,127.1135275667,분당구,정자동,,130-3번지 한라프라자 5층 501-1호,경기도
성남시,봉봉키즈,461822,"경기도 성남시 수정구 수정로171번길 7, 재경빌딩 5(일부)층 (태평동)","경기도 성남시 수정구 태평동 3407 재경빌딩, 5층 일부",20181214,폐업,20210114,N,99.56,,키즈카페,37.4434149816,127.1384905789,수정구,태평동,,"3407 재경빌딩, 5층 일부",경기도
성남시,(주)미래엔에듀케어딸기가좋아 분당점,463869,"경기도 성남시 분당구 정자일로 55 (금곡동, 분당두산위브 지하2층 99-201호 일부)",경기도 성남시 분당구 금곡동 192 분당두산위브 지하2층 99-201호 일부,20170615,폐업,20200915,Y,336.95,,키즈카페,37.3558762226,127.1055775722,분당구,금곡동,,192 분당두산위브 지하2층 99-201호 일부,경기도
성남시,맘스블럭,462100,"경기도 성남시 중원구 여수울로15번길 4-16, 2층 (여수동)",경기도 성남시 중원구 여수동 426번지 2층,20141119,폐업,20191030,N,43.39,,키즈카페,37.4189595124,127.1322455783,중원구,여수동,,426번지 2층,경기도
성남시,카페드베베,463863,"경기도 성남시 분당구 정자일로 248, 504호 (정자동, 파크뷰 5층 상가)",경기도 성남시 분당구 정자동 6번지 파크뷰 5층 상가 504호,20141218,폐업,20200131,Y,144.48,,키즈카페,37.3757258783,127.1059480343,분당구,정자동,,6번지 파크뷰 5층 상가 504호,경기도
성남시,바오밥 키즈카페앤,463410,"경기도 성남시 분당구 운중로225번길 14-2 (판교동, 1층)",경기도 성남시 분당구 판교동 617번지 1층,20121213,폐업,20191021,N,121.01,,키즈카페,37.391098736,127.0886960997,분당구,판교동,,617번지 1층,경기도
성남시,라움프리미엄키즈카페,461210,"경기도 성남시 수정구 위례동로 135, 신성위캐슬타워 3층 303(일부)호,304(일부)호 (창곡동)","경기도 성남시 수정구 창곡동 513-3 신성위캐슬타워, 3층 303호 일부, 304호 일부",20181109,폐업,20220502,N,84.08,,키즈카페,37.4722935901,127.1500566154,수정구,창곡동,,"513-3 신성위캐슬타워, 3층 303호 일부, 304호 일부",경기도
성남시,키즈카페별이,461810,"경기도 성남시 수정구 산성대로 337, 7층 (신흥동, 세이브존)",경기도 성남시 수정구 신흥동 2463-5번지 세이브존7층,20131024,폐업,20191125,Y,570.91,,키즈카페,37.4439105927,127.1534899028,수정구,신흥동,,2463-5번지 세이브존7층,경기도
성남시,슈슈봉봉 위례신도시점,461210,"경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 5층 502, 503호 일부호 (창곡동)","경기도 성남시 수정구 창곡동 509 위례중앙역 중앙타워 502, 5603호 일부",20180514,폐업,20220609,Y,167.4,,키즈카페,37.4734793704,127.1426886465,수정구,창곡동,,"509 위례중앙역 중앙타워 502, 5603호 일부",경기도
성남시,키즈플레이,463817,"경기도 성남시 분당구 야탑로 251 (야탑동, 다주빌딩 4층 일부)",경기도 성남시 분당구 야탑동 175-4번지 다주빌딩 4층 일부,20140527,폐업,20180315,Y,254.72,,키즈카페,37.4070595217,127.1464167502,분당구,야탑동,,175-4번지 다주빌딩 4층 일부,경기도
수원시,까로맘,441842,"경기도 수원시 권선구 금곡로73번길 80-13, 1층 일부호 (금곡동)",경기도 수원시 권선구 금곡동 498-1 ,20230116,영업,,N,30.0,,키즈카페,37.2766269333,126.9345826152,권선구,금곡동,,498-1,경기도
수원시,와따플레이 광교점,443-822,"경기도 수원시 영통구 중부대로 335, 2층 217호, 218 일부호, 219 일부호 (원천동, 삼부리치안)",경기도 수원시 영통구 원천동 96-1 삼부리치안 ,2021-07-27,영업,,N,90.45,,키즈카페,37.2736073924,127.052610308,영통구,원천동,,96-1 삼부리치안,경기도
수원시,메가박스중앙(주)영통지점 키즈카페,443-810,"경기도 수원시 영통구 봉영로 1579 (영통동, 960-1 롯데마트영통점 6층일부)",경기도 수원시 영통구 영통동 960-1 롯데마트영통점 6층일부 ,2013-07-04,폐업,2024-02-29,N,53.0,,키즈카페,37.2527384461,127.0716666812,영통구,영통동,,960-1 롯데마트영통점 6층일부,경기도
수원시,릴리펏 롯데백화점수원점,441-100,"경기도 수원시 권선구 세화로 134, 롯데몰 수원점 7층 (서둔동)",경기도 수원시 권선구 서둔동 381 롯데몰 수원점 ,2018-10-01,폐업,2023-11-21,N,190.3,,키즈카페,37.2641013965,126.9973705173,권선구,서둔동,,381 롯데몰 수원점,경기도
수원시,바바빠빠,443-280,"경기도 수원시 영통구 센트럴파크로 6, 301동 지2층 101호 (하동, 힐스테이트 광교)","경기도 수원시 영통구 하동 1021 힐스테이트 광교, 지2층 301동 101호",2019-04-08,폐업,2024-08-29,Y,338.7,,키즈카페,37.2867145022,127.0649309652,영통구,하동,,"1021 힐스테이트 광교, 지2층 301동 101호",경기도
수원시,점핑몬스터,441460,"경기도 수원시 권선구 금곡로118번길 24, 리치빌딩 503호 (금곡동)",경기도 수원시 권선구 금곡동 1088-2 리치빌딩,20200701,영업,,N,77.7,,키즈카페,37.2731330228,126.9429215942,권선구,금곡동,,1088-2 리치빌딩,경기도
수원시,앙글앙글키즈카페 북수원점,440310,경기도 수원시 장안구 장안로478번길 85 (이목동),경기도 수원시 장안구 이목동 59-1,20191010,영업,,N,133.7,,키즈카페,37.3220129836,126.9759806642,장안구,이목동,,59-1,경기도
수원시,킹콩점프,443390,"경기도 수원시 영통구 권선로908번길 30, 3층 (신동)",경기도 수원시 영통구 신동 935,20180122,폐업,20191113,N,75.16,,키즈카페,37.247680188,127.0447128855,영통구,신동,,935,경기도
수원시,점프아이,441824,"경기도 수원시 권선구 세권로207번길 16, 2층 (권선동)",경기도 수원시 권선구 권선동 1044-1 2층,20160719,폐업,20210608,N,31.0,,키즈카페,37.2556360434,127.0277160672,권선구,권선동,,1044-1 2층,경기도
수원시,릴리펏 광교점,443270,"경기도 수원시 영통구 센트럴타운로 107, 204동 B-76,77,78호 (이의동)",경기도 수원시 영통구 이의동 1331,20160608,폐업,20220623,N,134.25,,키즈카페,37.2915748187,127.04856648,영통구,이의동,,1331,경기도
수원시,돼지꼬랭이키즈카페,441842,"경기도 수원시 권선구 금곡로 116, 406.407호 (금곡동, 유동타워)",경기도 수원시 권선구 금곡동 572-5 유동타워 406.407호,20121213,폐업,20190304,Y,230.97,,키즈카페,37.2739088811,126.9430625097,권선구,금곡동,,572-5 유동타워 406.407호,경기도
