,Unnamed: 0,행정동,경도,위도,subway_최소거리(m),500m지하철역개수,bus_최소거리(m),500m버스정류장개수,badplace_최소거리(m),500m술집개수,parking_최소거리(m),500내주차장개수,300m보호구역여부,200m위험구역여부,cluster
1511,1511,광장동,127.1011736678,37.5475431005333,306.250912050837,1,148.608001035764,6,215.782373421883,6,90.8001334311135,1,1,0,2
1512,1512,광장동,127.101168865427,37.5484444379675,340.512565193557,1,177.138544612427,5,247.510687181977,6,145.257968878995,1,1,0,2
1513,1513,광장동,127.101164062841,37.5493457752631,381.360301113658,1,219.087391082697,4,288.597689992094,4,203.180810344001,0,1,0,0
1514,1514,광장동,127.10115926004,37.5502471124204,426.907755878381,0,268.231234326318,2,335.623727025564,3,262.282959801883,0,1,0,0
1515,1515,광장동,127.101154457026,37.5511484494391,475.807166411481,0,321.285213884906,1,386.426594521797,0,321.915516428323,0,1,0,1
1516,1516,광장동,127.101149653797,37.5520497863194,527.126508785466,0,376.600398262912,0,437.567141358119,1,381.830043473608,0,1,0,1
1517,1517,광장동,127.101144850355,37.5529511230613,580.224022483271,0,433.311669894947,0,490.407633234416,1,424.352040990288,0,1,0,1
1518,1518,광장동,127.101140046699,37.5538524596646,634.653554210422,0,490.935446679982,0,519.644220480881,1,424.697436057134,0,1,0,1
1542,1542,광장동,127.102367941552,37.5358295178548,650.100243513273,0,401.04642650626494,0,528.253459838332,2,715.874669512128,0,0,0,1
1543,1543,광장동,127.102363155582,37.5367308572123,591.120226176763,0,352.177283817889,2,493.277383536014,2,655.721085369561,0,0,0,1
1544,1544,광장동,127.102358369399,37.5376321964314,532.488367839321,0,307.484653736779,2,447.067947111084,3,595.643644027299,0,0,0,1
1545,1545,광장동,127.102353583003,37.538533535512,474.333786651683,0,257.239801804738,3,387.926885250848,3,535.667959969286,0,1,0,0
1546,1546,광장동,127.102348796394,37.5394348744542,416.856274860655,0,200.956655924876,3,329.290693803733,5,475.832506324727,0,1,0,0
1547,1547,광장동,127.102344009571,37.5403362132579,360.37993056241,0,148.062187229925,3,271.486688039005,4,416.19776207459506,0,1,0,0
1548,1548,광장동,127.102339222535,37.5412375519232,305.460565073901,1,103.869201809245,4,215.186534992365,5,356.86435357335,0,1,0,0
1549,1549,광장동,127.102334435286,37.5421388904501,253.113681086849,1,83.5629775815575,4,161.966121379276,8,298.012310872471,0,1,0,0
1550,1550,광장동,127.102329647823,37.5430402288385,205.31640177407,1,102.490418934625,6,116.139377275317,8,239.996006573151,0,1,1,3
1551,1551,광장동,127.102324860148,37.5439415670884,166.045231611719,1,90.9852176314695,7,89.840027543969,9,183.609363430123,1,1,1,3
1552,1552,광장동,127.102320072258,37.5448429051999,142.5310918153,1,106.563941682996,7,76.7109467409562,8,130.974337977723,1,1,1,3
