,Unnamed: 0,행정동,경도,위도,subway_최소거리(m),500m지하철역개수,bus_최소거리(m),500m버스정류장개수,badplace_최소거리(m),500m술집개수,parking_최소거리(m),500내주차장개수,300m보호구역여부,200m위험구역여부,cluster
1014,1014,자양2동,127.089942143088,37.5312802470318,586.413416876816,0,184.005273734706,5,242.409022680172,9,202.126062227826,26,1,0,3
1015,1015,자양2동,127.089937208372,37.5321815857039,555.320457434138,0,134.335880095977,5,222.390913846348,11,179.66180116483,35,1,0,3
1016,1016,자양2동,127.089932273435,37.5330829242375,521.326468414334,1,97.7635480271898,6,208.770846455791,10,159.323213547243,34,1,0,3
1017,1017,자양2동,127.089927338279,37.53398426263271,492.447562722762,2,91.6115871050141,11,158.201385582046,9,160.664820930901,24,1,0,3
1057,1057,자양2동,127.091098537392,37.5267774753681,686.204928154436,0,511.811731701068,0,420.655712588891,0,303.124250821558,0,0,0,1
1058,1058,자양2동,127.091093617391,37.5276788148595,638.272086305871,0,457.619013842416,0,361.827825016235,0,245.242851714891,0,0,0,1
1059,1059,자양2동,127.09108869717,37.5285801542125,592.646513522207,0,405.219301793444,0,303.663643065018,1,189.018161683891,1,0,0,1
1060,1060,자양2동,127.091083776731,37.529481493427,549.902808806538,0,355.406534920711,1,246.633173427328,1,136.512757769207,11,1,0,3
1061,1061,자양2동,127.091078856072,37.530382832503,510.764992729336,0,302.52812446465,3,191.750649313902,4,94.1682180429576,18,1,0,3
1062,1062,자양2동,127.091073935194,37.5312841714405,476.123114532619,0,247.189951469447,4,141.537168832447,6,78.0793272575256,29,1,0,3
1063,1063,자양2동,127.091069014096,37.5321855102396,447.023624127312,1,194.952751330512,5,103.059654527689,8,69.546626021896,34,1,0,3
1064,1064,자양2동,127.09106409278,37.5330868489003,424.607551764292,1,149.111936924784,7,92.3789608775264,8,41.557346059564495,34,1,0,3
1105,1105,자양2동,127.09223026163,37.5267813882976,621.272447743957,0,524.774842385788,0,412.921728903608,0,297.048230552724,0,0,0,1
