,Unnamed: 0,행정동,경도,위도,subway_최소거리(m),500m지하철역개수,bus_최소거리(m),500m버스정류장개수,badplace_최소거리(m),500m술집개수,parking_최소거리(m),500내주차장개수,300m보호구역여부,200m위험구역여부
1427,1427,구의2동,127.098866114973,37.5556474613244,869.897227105964,0,506.925458537803,1,275.281024110762,6,231.372574706592,2,1,0
1428,1428,구의2동,127.098861283404,37.5565487972642,919.25794505918,0,465.905136826983,1,297.240181911559,5,275.701509413463,0,1,0
1429,1429,구의2동,127.098856451618,37.5574501330655,969.884745593982,0,429.52031640154,3,329.013478268992,1,325.293068481617,0,0,0
1430,1430,중곡4동,127.098851619618,37.5583514687283,1021.58941386147,0,399.04101519617694,4,368.068018047744,1,378.082050496336,0,0,0
1431,1431,중곡4동,127.098846787402,37.5592528042527,1074.21631720156,0,369.372578182542,4,412.340043010495,0,362.83419857687,0,0,0
1432,1432,중곡4동,127.098841954971,37.5601541396386,1127.63633804167,0,340.37560382805,4,460.326621664444,0,333.771521183723,0,0,0
1433,1433,중곡4동,127.098837122325,37.561055474886,1181.74192146237,0,320.31388380056,4,510.982311620439,0,313.821912336637,3,0,0
1434,1434,중곡4동,127.098832289464,37.561956809994896,1222.61720994006,0,310.921844168344,3,563.587861690603,0,304.172562477683,3,0,0
1435,1435,중곡4동,127.098827456387,37.5628581449654,1257.2945934535,0,313.160937869381,3,617.645252574848,0,305.603113988541,3,0,0
1436,1436,중곡4동,127.098822623095,37.5637594797973,1293.87456298449,0,326.792163134752,2,672.804620665728,0,318.734301650721,2,0,0
1437,1437,중곡4동,127.098817789587,37.5646608144908,1332.20040020188,0,350.488833002789,2,728.815800302052,0,342.221883160166,0,0,0
1438,1438,중곡4동,127.098812955864,37.5655621490458,1372.12581554219,0,382.384204411291,1,785.496589314306,0,374.120360753082,0,0,0
1439,1439,중곡4동,127.098808121926,37.5664634834623,1413.51527092042,0,420.617267009103,0,842.711881369462,0,412.483006131003,0,0,0
1440,1440,중곡4동,127.098803287773,37.5673648177403,1456.24393658851,0,463.622726864526,0,900.359780607761,0,455.680117627816,0,0,0
1441,1441,중곡4동,127.098798453404,37.5682661518798,1500.19738472486,0,510.195175123372,0,958.362219981315,0,502.466373354206,0,0,0
1442,1442,중곡4동,127.098793618819,37.5691674858808,1545.27110443539,0,559.444484384983,0,1016.65851675703,0,551.929782526066,0,0,0
1443,1443,중곡4동,127.09878878402,37.5700688197434,1591.36990555771,0,610.723399163809,0,1075.20087137627,0,603.412337722639,0,0,0
1444,1444,중곡4동,127.098783949005,37.5709701534674,1638.40726246743,0,663.561548385491,0,1133.95117234961,0,656.439139620751,0,0,0
1445,1445,중곡4동,127.098779113774,37.571871487053,1658.39135375362,0,717.614590139864,0,1192.878693049,0,710.664592627123,0,0,0
1446,1446,구의3동,127.100133091805,37.5304138363091,683.487749185586,0,606.344769644858,0,545.99821300871,0,928.594198268171,0,0,0
1447,1447,구의3동,127.100128279877,37.5313151762499,657.360633228589,0,557.320239352998,0,494.685347002206,0,926.453435600865,0,0,0
1448,1448,구의3동,127.100123467734,37.5322165160523,635.937521220458,0,510.76821266424,0,445.69012344559104,0,928.261961096487,0,0,0
1449,1449,구의3동,127.100118655377,37.5331178557162,619.706449773228,0,467.427991857057,0,399.865381935982,0,908.82363869534,0,0,0
1450,1450,구의3동,127.100113842806,37.5340191952417,609.08263425366,1,428.27575807603904,1,358.42921113495,2,849.519856194918,0,0,0
1451,1451,구의3동,127.10010903002,37.5349205346288,604.361844877771,1,394.32545718956305,3,323.074616108373,2,790.401685517809,0,0,0
1452,1452,구의3동,127.10010421702,37.5358218738774,605.682120191503,1,334.012925296575,3,295.988922869787,3,731.51412544291,0,0,0
1453,1453,구의3동,127.100099403805,37.5367232129876,613.004423427717,0,273.795014302363,4,279.585762013045,4,672.917717170607,0,1,0
1454,1454,광장동,127.100094590376,37.5376245519593,626.118208539351,0,213.751695255774,4,260.774152947654,4,614.695724577817,0,1,0
1455,1455,광장동,127.100089776732,37.5385258907926,597.666721706889,0,154.087185148289,4,217.10511957705,4,556.965572700456,0,1,0
1456,1456,광장동,127.100084962874,37.5394272294874,553.347621797393,0,95.514000673341,5,183.28336559248,8,499.897683959017,0,1,0
1457,1457,광장동,127.100080148802,37.5403285680438,512.356546204825,0,42.7781787348902,5,165.461870464822,10,443.747635295859,0,1,0
1458,1458,광장동,127.100075334515,37.541229906461695,475.55485926918305,0,43.1740621235761,7,142.84642329197,11,388.913167232474,0,1,0
1459,1459,광장동,127.100070520014,37.5421312447412,443.985547077265,1,96.0468623982119,7,90.3301761804155,7,336.038914612395,0,1,0
1460,1460,광장동,127.100065705298,37.5430325828822,418.833439699666,1,154.638181710357,8,56.9281805839154,9,286.213311273364,0,1,0
1461,1461,광장동,127.100060890368,37.5439339208847,401.30695363435,1,207.758444980509,8,75.1593370883487,10,241.332070307116,0,1,0
1462,1462,광장동,127.100056075223,37.5448352587489,392.429130848086,1,232.261298543036,7,124.031687923658,10,204.674063366579,1,1,0
