,행정동,center_lat,center_lon,주차장수,최소거리(m)
162,군자동,37.54832898648073,127.068339419832,0.0,0.0
163,군자동,37.5492303200411,127.06833422195344,0.0,0.0
164,자양3동,37.52489839483254,127.06960617594108,0.0,0.0
165,자양3동,37.52579973212842,127.06960099769408,0.0,0.0
166,자양3동,37.52670106928577,127.06959581921642,0.0,0.0
167,자양3동,37.52760240630462,127.06959064050812,0.0,0.0
168,자양3동,37.52850374318496,127.06958546156906,0.0,0.0
169,자양3동,37.52940507992675,127.06958028239934,0.0,0.0
170,자양3동,37.530306416530046,127.06957510299888,0.0,0.0
171,자양3동,37.5312077529948,127.06956992336772,0.0,0.0
172,자양3동,37.53210908932103,127.06956474350582,0.0,0.0
173,자양3동,37.53301042550875,127.06955956341316,0.0,0.0
174,자양3동,37.533911761557945,127.06955438308977,0.0,0.0
175,자양3동,37.53481309746862,127.0695492025356,0.0,0.0
176,자양3동,37.53571443324075,127.06954402175064,0.0,0.0
177,자양3동,37.53661576887435,127.06953884073486,0.0,0.0
178,자양3동,37.53751710436944,127.06953365948834,0.0,0.0
179,자양4동,37.53841843972599,127.06952847801098,0.0,0.0
180,자양4동,37.539319774944005,127.0695232963028,0.0,0.0
181,화양동,37.540221110023474,127.0695181143638,1.0,41.0
182,화양동,37.54112244496442,127.06951293219394,0.0,0.0
183,화양동,37.54202377976683,127.06950774979325,0.0,0.0
184,화양동,37.54292511443072,127.06950256716163,0.0,0.0
185,화양동,37.54382644895604,127.0694973842992,0.0,0.0
186,화양동,37.54472778334283,127.06949220120588,0.0,0.0
187,화양동,37.545629117591105,127.06948701788164,0.0,0.0
188,화양동,37.54653045170082,127.06948183432648,0.0,0.0
189,화양동,37.547431785671975,127.06947665054042,0.0,0.0
190,군자동,37.54833311950461,127.06947146652344,0.0,0.0
191,군자동,37.5492344531987,127.06946628227549,0.0,0.0
192,군자동,37.55013578675424,127.0694610977966,0.0,0.0
193,군자동,37.55103712017123,127.06945591308676,0.0,0.0
194,자양3동,37.524902513537285,127.07073786868033,0.0,0.0
195,자양3동,37.525803850966454,127.07073270404815,0.0,0.0
196,자양3동,37.52670518825708,127.07072753918597,0.0,0.0
197,자양3동,37.52760652540922,127.07072237409368,0.0,0.0
198,자양3동,37.52850786242284,127.0707172087713,0.0,0.0
