법정동코드,주소,새주소-도로명,일반인이용,경도,위도,법정동명
10200,서울특별시 광진구 능동 312-2,천호대로110길,일반인 개방,127.07825,37.552875,능동
10200,서울특별시 광진구 능동 312-1,천호대로110길,일반인 개방,127.07822,37.553011,능동
10200,서울특별시 광진구 능동 312-3,능동로28길,일반인 개방,127.078463,37.552855,능동
10200,서울특별시 광진구 능동 283-4 원광빌딩,능동로,일반인 개방,127.078203,37.554207,능동
10200,서울특별시 광진구 능동 314-1,능동로26길,일반인 개방,127.078344,37.552583,능동
10200,서울특별시 광진구 능동 314-5 파크아이빌,능동로26길,일반인 개방,127.078339,37.552293,능동
10200,서울특별시 광진구 능동 244-8 포시즌 팰리스,능동로34길,일반인 개방,127.084495,37.553664,능동
10200,서울특별시 광진구 능동 248-3 하이하우스,천호대로118길,일반인 개방,127.085175,37.55359,능동
10200,서울특별시 광진구 능동 248-19,능동로34길,일반인 개방,127.085481,37.553498,능동
10200,서울특별시 광진구 능동 248-17,능동로34길,일반인 개방,127.085608,37.553426,능동
10200,서울특별시 광진구 능동 135-23,능동로32길,일반인 개방,127.082026,37.552378,능동
10200,서울특별시 광진구 능동 135-17,능동로32길,일반인 개방,127.082132,37.552526,능동
10200,서울특별시 광진구 능동 135-9,능동로32길,일반인 개방,127.081856,37.552503,능동
10200,서울특별시 광진구 능동 135-13,능동로32길,일반인 개방,127.08164,37.552526,능동
10200,서울특별시 광진구 능동 241-34,능동로32길,일반인 개방,127.082232,37.552673,능동
10200,서울특별시 광진구 능동 241-7,능동로32길,일반인 개방,127.082273,37.552781,능동
10200,서울특별시 광진구 능동 241-10 하우젠파크빌,능동로32길,일반인 개방,127.082444,37.552896,능동
10200,서울특별시 광진구 능동 257-17,능동로36길,일반인 개방,127.088108,37.552477,능동
10200,서울특별시 광진구 능동 257-23,천호대로122길,일반인 개방,127.087991,37.552349,능동
10200,서울특별시 광진구 능동 257-14,천호대로122길,일반인 개방,127.088009,37.552596,능동
10200,서울특별시 광진구 능동 257-21,천호대로122길,일반인 개방,127.087836,37.552555,능동
10200,서울특별시 광진구 능동 257-19 효빌라,천호대로122길,일반인 개방,127.087743,37.552667,능동
10200,서울특별시 광진구 능동 246-2 진현빌딩,천호대로,일반인 개방,127.08446,37.554836,능동
10200,서울특별시 광진구 능동 246-5 두성빌딩,천호대로,일반인 개방,127.084681,37.554781,능동
10200,서울특별시 광진구 능동 246-8 원빌딩,천호대로,일반인 개방,127.084893,37.554679,능동
10200,서울특별시 광진구 능동 237-22 씨티하우스,능동로36길,일반인 개방,127.08301,37.555132,능동
10200,서울특별시 광진구 능동 220-11,능동로36길,일반인 개방,127.079809,37.556321,능동
10200,서울특별시 광진구 능동 220-12,능동로36길,일반인 개방,127.079951,37.556283,능동
10200,서울특별시 광진구 능동 220-13,능동로36길,일반인 개방,127.080093,37.556224,능동
10200,서울특별시 광진구 능동 220-14,능동로36길,일반인 개방,127.080239,37.55618,능동
10200,서울특별시 광진구 능동 222-1 동우빌딩,천호대로,일반인 개방,127.080646,37.556349,능동
10200,서울특별시 광진구 능동 222-13,천호대로,일반인 개방,127.080822,37.556271,능동
10200,서울특별시 광진구 능동 222-3 범천타워,천호대로,일반인 개방,127.081258,37.555986,능동
10200,서울특별시 광진구 능동 222-4 정우빌딩,천호대로,일반인 개방,127.081538,37.556001,능동
10200,서울특별시 광진구 능동 220-2,천호대로110길,일반인 개방,127.079882,37.556483,능동
10200,서울특별시 광진구 능동 222-9 웅래빌딩,능동로36길,일반인 개방,127.080584,37.556028,능동
10200,서울특별시 광진구 능동 223-38,능동로36길,일반인 개방,127.080755,37.555601,능동
10200,서울특별시 광진구 능동 223-9 원진빌딩,능동로34길,일반인 개방,127.081014,37.555283,능동
10200,서울특별시 광진구 능동 223-5,능동로36길,일반인 개방,127.081005,37.555642,능동
10200,서울특별시 광진구 능동 223-39,능동로36길,일반인 개방,127.080817,37.555718,능동
10200,서울특별시 광진구 능동 149,능동로24길,일반인 개방,127.080237,37.552818,능동
10200,서울특별시 광진구 능동 386-1,능동로24길,일반인 개방,127.079673,37.552245,능동
10200,서울특별시 광진구 능동 387,능동로24길,일반인 개방,127.079649,37.552352,능동
10200,서울특별시 광진구 능동 436-1,능동로24길,일반인 개방,127.079198,37.552228,능동
10200,서울특별시 광진구 능동 245-25,능동로36길,일반인 개방,127.084665,37.554077,능동
10200,서울특별시 광진구 능동 245-4,능동로36길,일반인 개방,127.084761,37.554173,능동
10200,서울특별시 광진구 능동 245-5,능동로36길,일반인 개방,127.084894,37.554118,능동
10200,서울특별시 광진구 능동 245-11,능동로36길,일반인 개방,127.084876,37.554044,능동
10200,서울특별시 광진구 능동 235-9,능동로34길,일반인 개방,127.081935,37.554849,능동
10200,서울특별시 광진구 능동 235-10 휴앤하임,능동로34길,일반인 개방,127.081854,37.55504,능동
10200,서울특별시 광진구 능동 253-18,능동로34길,일반인 개방,127.087308,37.552578,능동
10200,서울특별시 광진구 능동 253-10 욱현하이브빌,능동로32길,일반인 개방,127.086517,37.55252,능동
10200,서울특별시 광진구 능동 254-8,능동로34길,일반인 개방,127.087017,37.552947,능동
10200,서울특별시 광진구 능동 385-5,능동로24길,일반인 개방,127.079915,37.55261,능동
10200,서울특별시 광진구 능동 139-1 행복한집,천호대로116길,일반인 개방,127.080931,37.552775,능동
10200,서울특별시 광진구 능동 141,천호대로116길,일반인 개방,127.080777,37.552785,능동
10200,서울특별시 광진구 능동 146-1,능동로24길,일반인 개방,127.080362,37.552956,능동
10200,서울특별시 광진구 능동 385-3,능동로24길,일반인 개방,127.079749,37.55266,능동
10200,서울특별시 광진구 능동 388-2,능동로24길,일반인 개방,127.079677,37.552507,능동
10200,서울특별시 광진구 능동 388-8,능동로24길,일반인 개방,127.079609,37.552568,능동
10200,서울특별시 광진구 능동 386,능동로24길,일반인 개방,127.079751,37.552438,능동
10200,서울특별시 광진구 능동 18 서울시민안전체험관,능동로,일반인 개방,127.077272,37.55173,능동
10200,서울특별시 광진구 능동 18-11 육영재단어린이회관,광나루로,일반인 개방,127.077636,37.546993,능동
10200,서울특별시 광진구 능동 235-11,능동로34길,일반인 개방,127.081749,37.555076,능동
10200,서울특별시 광진구 능동 235-17,능동로34길,일반인 개방,127.081486,37.555031,능동
10200,서울특별시 광진구 능동 235-43,천호대로112길,일반인 개방,127.081311,37.555111,능동
10200,서울특별시 광진구 능동 234-1,천호대로112길,일반인 개방,127.081238,37.554935,능동
10200,서울특별시 광진구 능동 234-2,능동로34길,일반인 개방,127.081446,37.554858,능동
10200,서울특별시 광진구 능동 234-35,능동로32길,일반인 개방,127.082074,37.554232,능동
10200,서울특별시 광진구 능동 245-7,천호대로118길,일반인 개방,127.084997,37.553802,능동
10200,서울특별시 광진구 능동 245-13,능동로34길,일반인 개방,127.084915,37.553719,능동
10200,서울특별시 광진구 능동 244-6,천호대로118길,일반인 개방,127.084831,37.553514,능동
10200,서울특별시 광진구 능동 245-14,능동로34길,일반인 개방,127.084795,37.553825,능동
10200,서울특별시 광진구 능동 245-15,능동로34길,일반인 개방,127.084656,37.553877,능동
10200,서울특별시 광진구 능동 251-42,능동로32길,일반인 개방,127.085243,37.552193,능동
10200,서울특별시 광진구 능동 251-37,능동로32길,일반인 개방,127.085365,37.552433,능동
10200,서울특별시 광진구 능동 276-2,천호대로,일반인 개방,127.079726,37.5567,능동
10200,서울특별시 광진구 능동 276-3,능동로,일반인 개방,127.079554,37.556595,능동
10200,서울특별시 광진구 능동 220-6,천호대로,일반인 개방,127.080012,37.556612,능동
10200,서울특별시 광진구 능동 276-1,천호대로,일반인 개방,127.084068,37.55766,능동
10200,서울특별시 광진구 능동 234-11,능동로32길,일반인 개방,127.081943,37.554262,능동
10200,서울특별시 광진구 능동 245-10 하우젠팰리스,능동로34길,일반인 개방,127.084514,37.553936,능동
10200,서울특별시 광진구 능동 245-16,능동로34길,일반인 개방,127.084201,37.553977,능동
10200,서울특별시 광진구 능동 239-29,능동로32길,일반인 개방,127.082778,37.554204,능동
10200,서울특별시 광진구 능동 239-32 한빛BILL,능동로32길,일반인 개방,127.082603,37.554269,능동
10200,서울특별시 광진구 능동 239-21,능동로32길,일반인 개방,127.082531,37.554142,능동
10200,서울특별시 광진구 능동 239-14 오렌지하우스,능동로32길,일반인 개방,127.082957,37.553915,능동
10200,서울특별시 광진구 능동 160 하나빌라,능동로24길,일반인 개방,127.080932,37.553549,능동
10200,서울특별시 광진구 능동 161,능동로24길,일반인 개방,127.081093,37.553641,능동
10200,서울특별시 광진구 능동 177-23,능동로24길,일반인 개방,127.081378,37.553693,능동
10200,서울특별시 광진구 능동 233-18,능동로24길,일반인 개방,127.081236,37.553891,능동
10200,서울특별시 광진구 능동 233-1,능동로32길,일반인 개방,127.081393,37.554247,능동
10200,서울특별시 광진구 능동 233-9,능동로32길,일반인 개방,127.081862,37.554052,능동
10200,서울특별시 광진구 능동 233-11,천호대로114길,일반인 개방,127.08191,37.553921,능동
10200,서울특별시 광진구 능동 240-1,천호대로114길,일반인 개방,127.082122,37.553912,능동
10200,서울특별시 광진구 능동 233-4,천호대로114길,일반인 개방,127.081776,37.553832,능동
10200,서울특별시 광진구 능동 240-15,천호대로114길,일반인 개방,127.082021,37.553669,능동
10200,서울특별시 광진구 능동 240-16 능동어린이집,천호대로114길,일반인 개방,127.081956,37.553587,능동
10200,서울특별시 광진구 능동 245-19,능동로34길,일반인 개방,127.084089,37.554165,능동
10200,서울특별시 광진구 능동 245-18,능동로34길,일반인 개방,127.084001,37.554043,능동
10200,서울특별시 광진구 능동 244-23,능동로34길,일반인 개방,127.084167,37.553806,능동
10200,서울특별시 광진구 능동 244-24,능동로34길,일반인 개방,127.084097,37.553695,능동
10200,서울특별시 광진구 능동 244-26,능동로34길,일반인 개방,127.084294,37.553623,능동
10200,서울특별시 광진구 능동 222-14,천호대로,일반인 개방,127.080969,37.556217,능동
10200,서울특별시 광진구 능동 220-9,능동로36길,일반인 개방,127.079666,37.5564,능동
10200,서울특별시 광진구 능동 178-1 명선풍경채,천호대로114길,일반인 개방,127.081659,37.553714,능동
10200,서울특별시 광진구 능동 241-2,능동로32길,일반인 개방,127.083226,37.553529,능동
10200,서울특별시 광진구 능동 242-29,천호대로116길,일반인 개방,127.083429,37.553424,능동
10200,서울특별시 광진구 능동 241-21,천호대로116길,일반인 개방,127.083048,37.553345,능동
10200,서울특별시 광진구 능동 242-7,천호대로116길,일반인 개방,127.083337,37.553259,능동
10200,서울특별시 광진구 능동 241-17,천호대로116길,일반인 개방,127.083049,37.553183,능동
10200,서울특별시 광진구 능동 244-19,능동로34길,일반인 개방,127.08458,37.553447,능동
10200,서울특별시 광진구 능동 244-32,천호대로118길,일반인 개방,127.08458,37.553214,능동
10200,서울특별시 광진구 능동 242-3 정수아트빌,능동로32길,일반인 개방,127.083837,37.553269,능동
10200,서울특별시 광진구 능동 235-18,천호대로112길,일반인 개방,127.081402,37.555212,능동
10200,서울특별시 광진구 능동 244-9 해인빌라,능동로32길,일반인 개방,127.084303,37.553398,능동
10200,서울특별시 광진구 능동 156-2 포스빌,능동로24길,일반인 개방,127.0807,37.553202,능동
10200,서울특별시 광진구 능동 241-1 신우아트빌,능동로32길,일반인 개방,127.082912,37.553646,능동
10200,서울특별시 광진구 능동 240-4,능동로32길,일반인 개방,127.082448,37.553784,능동
10200,서울특별시 광진구 능동 240-2,능동로32길,일반인 개방,127.082317,37.553889,능동
10200,서울특별시 광진구 능동 234-37,능동로32길,일반인 개방,127.081596,37.55437,능동
10200,서울특별시 광진구 능동 234-13,능동로32길,일반인 개방,127.081669,37.554504,능동
10200,서울특별시 광진구 능동 234-27,능동로32길,일반인 개방,127.081626,37.554659,능동
10200,서울특별시 광진구 능동 241-25 준하우스,천호대로116길,일반인 개방,127.08246,37.552489,능동
10200,서울특별시 광진구 능동 242-16,천호대로116길,일반인 개방,127.08316,37.553026,능동
10200,서울특별시 광진구 능동 314-9,능동로24길,일반인 개방,127.077869,37.552039,능동
10200,서울특별시 광진구 능동 316-3 능동 119안전센터,능동로,일반인 개방,127.076995,37.551672,능동
10200,서울특별시 광진구 능동 244-12,능동로32길,일반인 개방,127.083808,37.553592,능동
10200,서울특별시 광진구 능동 241-24,천호대로116길,일반인 개방,127.082576,37.552437,능동
10200,서울특별시 광진구 능동 242-13,천호대로116길,일반인 개방,127.083516,37.552892,능동
10200,서울특별시 광진구 능동 242-14,천호대로116길,일반인 개방,127.08341,37.552931,능동
10200,서울특별시 광진구 능동 177-33,능동로32길,일반인 개방,127.081849,37.55277,능동
10200,서울특별시 광진구 능동 242-15,천호대로116길,일반인 개방,127.083285,37.552981,능동
10200,서울특별시 광진구 능동 243-10,능동로32길,일반인 개방,127.083842,37.552698,능동
10200,서울특별시 광진구 능동 243-21 삼도정보통신,천호대로118길,일반인 개방,127.084303,37.552623,능동
10200,서울특별시 광진구 능동 243-25,천호대로118길,일반인 개방,127.084384,37.552975,능동
10200,서울특별시 광진구 능동 243-1,천호대로118길,일반인 개방,127.084513,37.553012,능동
10200,서울특별시 광진구 능동 243-24,능동로32길,일반인 개방,127.084391,37.553091,능동
10200,서울특별시 광진구 능동 251-28,능동로32길,일반인 개방,127.085476,37.552321,능동
10200,서울특별시 광진구 능동 251-26,능동로32길,일반인 개방,127.085586,37.552505,능동
10200,서울특별시 광진구 능동 251-24,능동로32길,일반인 개방,127.085763,37.552557,능동
10200,서울특별시 광진구 능동 251-25 금강 화이트빌,능동로32길,일반인 개방,127.085633,37.552601,능동
