법정동코드,주소,새주소-도로명,유무료,경도,위도,법정동명
10100,서울특별시 광진구 중곡동 437-6,긴고랑로,유료,127.094253,37.559271,중곡동
10100,서울특별시 광진구 중곡동 437-6,긴고랑로,유료,127.094306,37.559331,중곡동
10100,서울특별시 광진구 중곡동 437-6,긴고랑로,유료,127.094359,37.559447,중곡동
10100,서울특별시 광진구 중곡동 440,영화사로,유료,127.091841,37.556012,중곡동
10100,서울특별시 광진구 중곡동 440,영화사로,유료,127.091905,37.555972,중곡동
10100,서울특별시 광진구 중곡동 440,영화사로,유료,127.091794,37.55696,중곡동
10100,서울특별시 광진구 중곡동 440,영화사로,유료,127.091658,37.556149,중곡동
10100,서울특별시 광진구 중곡동 440,영화사로,유료,127.091731,37.556093,중곡동
10100,서울특별시 광진구 중곡동 99-3 대순진리회성동회관,영화사로,유료,127.09099,37.556609,중곡동
10100,서울특별시 광진구 중곡동 99-3 대순진리회성동회관,영화사로,유료,127.091158,37.55651,중곡동
10100,서울특별시 광진구 중곡동 99-3 대순진리회성동회관,영화사로,유료,127.09235,37.557251,중곡동
10100,서울특별시 광진구 중곡동 99-3 대순진리회성동회관,영화사로,유료,127.092391,37.557313,중곡동
10100,서울특별시 광진구 중곡동 99-3 대순진리회성동회관,영화사로,유료,127.092278,37.557196,중곡동
10100,서울특별시 광진구 중곡동 83-6,영화사로,유료,127.089691,37.55757,중곡동
10100,서울특별시 광진구 중곡동 83-6,영화사로,유료,127.089734,37.557472,중곡동
10100,서울특별시 광진구 중곡동 83-6,영화사로,유료,127.089846,37.557434,중곡동
10100,서울특별시 광진구 중곡동 83-6,영화사로,유료,127.089927,37.557353,중곡동
10100,서울특별시 광진구 중곡동 83-23,영화사로,유료,127.09011,37.557212,중곡동
10100,서울특별시 광진구 중곡동 83-23,영화사로,유료,127.090196,37.557163,중곡동
10900,서울특별시 광진구 군자동 45-11,능동로29가길,무료,127.07754,37.555062,군자동
10900,서울특별시 광진구 군자동 1-11 비전빌딩,능동로,무료,127.077545,37.554409,군자동
10900,서울특별시 광진구 군자동 45-11,능동로29가길,무료,127.077381,37.554845,군자동
10900,서울특별시 광진구 군자동 45-11,능동로29가길,무료,127.077498,37.554939,군자동
