역명,X좌표,Y좌표,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수
메리놀외방선교회,127.07748341675,37.559018746250004,449,407,57,66,0,0,0,0,122,65,119,151,313,371,345,944,751,1364,679,800,450,428,488,523,605,588,577,538,683,636,744,781,861,917,954,836,1647,1134,1470,919,1096,737,900,721,923,673,554,385
면곡시장,127.08040272892501,37.5707200787,140,457,125,272,49,103,46,102,224,100,490,226,806,530,1643,829,1526,1640,1195,807,974,676,922,740,917,769,957,803,802,941,854,1180,710,1317,1010,1578,1221,2155,983,2219,736,1468,544,1337,351,1222,184,839
면곡시장앞,127.0833666028,37.570939024750004,157,214,13,28,0,0,0,0,338,43,597,133,931,295,1298,300,2322,534,1552,434,1051,516,847,534,947,548,1014,574,881,688,809,787,906,941,978,952,899,1177,788,1264,521,968,581,861,438,842,283,498
새마을금고앞,126.986155345475,37.5933429798,0,1,0,0,0,0,0,0,0,0,0,0,21,39,48,91,64,155,29,207,31,143,43,197,24,226,50,194,35,224,50,280,46,431,47,306,30,263,47,281,13,164,13,186,7,102,9,75
새밭교회,127.09289949744999,37.548970665599995,126,579,72,205,61,74,34,105,319,229,444,1037,1119,897,2136,1702,2600,3480,1477,1621,1130,1337,815,1297,1008,1409,979,1321,866,1515,969,1880,1209,2209,1260,2400,1538,3041,997,2118,699,1648,555,1402,553,1391,269,932
서울서광교회앞,127.088351026,37.5475847263,0,0,0,0,0,0,0,0,0,0,0,0,26,54,187,119,134,222,86,78,99,114,110,161,115,153,101,226,100,247,85,267,121,320,109,380,105,552,85,490,57,387,58,466,37,393,19,249
선화예고앞,127.0900588338,37.5494847466,0,0,0,0,0,0,0,0,0,0,0,0,399,93,633,127,845,266,687,167,442,124,424,135,485,169,530,185,494,208,461,224,568,224,633,246,624,185,391,166,282,111,192,95,132,96,27,10
성수대우프레시아1차아파트,127.0659848276,37.5452943403,0,0,0,0,0,0,0,0,0,0,0,1,3,56,5,326,60,1758,12,2347,10,492,14,192,11,186,13,244,18,218,16,256,15,180,16,205,19,221,18,187,12,104,11,96,13,125,4,70
성수사거리,127.0631635712,37.54283952906667,1395,792,319,243,0,0,0,0,0,0,3,2,157,299,264,345,435,677,288,495,264,419,400,455,419,563,500,553,625,608,773,708,832,719,909,740,1901,848,1408,963,967,753,1334,780,983,815,901,682
성안약국,127.0933444145,37.55317578155,0,0,0,0,0,0,0,0,0,0,0,0,308,60,571,116,499,239,479,285,260,277,305,338,302,313,266,345,273,317,221,459,209,607,249,562,232,637,280,505,122,420,64,373,46,386,15,261
성자초등학교앞,127.0824119936,37.53140983445,1,2,0,0,0,0,0,0,0,0,0,0,631,171,2243,469,2490,696,1721,459,1095,427,950,466,1096,542,1029,629,907,678,823,837,1116,999,1015,1143,942,1568,692,1604,382,1219,371,1062,315,1151,120,693
세종초교앞,127.0743618087,37.5538666538,75,302,6,77,0,0,0,0,0,0,36,95,165,103,553,117,432,159,349,127,275,227,307,247,330,304,279,351,332,371,491,567,500,668,587,648,518,784,360,867,335,679,332,732,228,765,203,685
세종초등학교.세종사이버대학교앞,127.0733966913,37.5535248785,4,3,0,0,0,0,0,0,283,116,499,147,613,223,1319,275,1506,553,1355,674,1061,523,1053,469,1052,457,1077,547,1051,479,1071,503,1128,548,1365,574,1390,624,818,671,586,425,449,375,340,384,120,168
송림식당앞,127.0766299665,37.5368221134,0,0,0,0,0,0,0,0,0,0,0,0,148,55,264,101,320,265,136,309,122,146,124,121,153,129,98,156,102,160,128,196,159,195,132,327,120,443,105,493,63,261,42,289,62,263,32,156
송정동건영아파트,127.07122427530001,37.5549793867,137,490,48,152,0,0,0,0,0,0,84,35,514,189,1167,173,1366,317,796,232,505,256,505,269,600,363,638,449,535,532,520,661,568,842,693,691,673,863,587,1015,375,803,317,827,278,828,182,603
송정동서울숲아이파크,127.0694224197,37.55176497005,202,537,33,133,0,0,0,0,0,0,240,58,406,273,836,277,1002,411,700,299,504,353,588,338,589,525,565,634,630,664,691,1000,685,1137,680,971,856,1316,670,1460,521,1181,536,1119,572,1313,298,899
신동아아파트,127.001659385225,37.521049651625,0,0,0,0,0,0,0,0,0,0,0,0,96,53,213,235,215,270,140,153,97,159,123,142,87,130,123,131,93,200,117,136,84,168,137,359,102,634,47,166,48,130,34,96,33,53,15,22
신성시장,127.0879297616,37.5583189468,85,142,0,0,0,0,0,0,161,16,275,125,503,292,742,874,1272,862,939,700,848,618,872,647,1044,755,938,818,893,910,1068,1281,1198,1586,1241,1536,1224,1759,1151,1763,785,1299,634,1198,478,1188,253,804
신성시장앞,127.0876755037,37.5583163621,86,135,0,0,0,0,0,0,396,81,805,246,1673,527,3412,636,3963,1429,3019,1158,2399,1057,2217,930,2269,977,2238,885,1947,859,1843,992,1788,1089,1992,1111,2003,1258,1338,989,1200,659,832,519,498,432,234,179
신성시장입구,127.0880363444,37.55859858635,0,1,0,0,0,0,0,0,0,0,94,3,259,65,1174,204,886,250,699,254,571,212,577,268,570,280,478,222,443,310,573,364,487,423,536,384,537,429,401,472,235,293,217,249,186,289,52,181
신양초등학교앞,127.06871726513333,37.5346494557,109,133,1,14,0,0,0,0,267,13,231,41,347,131,1159,492,1648,645,1134,407,827,380,808,398,917,537,899,636,962,719,1089,721,1354,883,1549,904,1842,1121,1526,1093,1171,698,1069,610,993,523,399,356
신자초등학교앞,127.07491876840001,37.53060415865,9,520,0,22,0,0,0,0,308,0,564,44,1205,182,3189,372,3667,933,2216,511,1434,583,1302,695,1307,871,1508,1074,1399,1075,1324,1231,1666,1595,1720,1819,1590,2422,1267,2324,892,1557,755,1492,631,1401,248,1071
아차산역사거리,127.09137164904999,37.5506967383,0,0,0,0,0,0,0,0,0,0,0,0,273,165,557,306,490,489,469,461,437,369,427,482,467,530,466,509,468,555,546,746,505,952,589,750,689,903,488,853,414,689,287,561,271,559,108,375
어린이대공원앞,127.0770314953,37.5520458638,72,385,42,327,56,324,21,193,24,295,120,367,273,309,627,412,714,1100,644,988,647,902,697,833,1027,955,1209,1093,1189,1270,1463,1503,1565,1543,1746,1579,1572,2097,946,2012,769,1585,748,1539,592,1554,323,902
어린이대공원앞.세종대학교,127.07544,37.549752,99,72,21,42,18,18,14,18,9,8,46,120,50,231,181,337,194,1184,216,1000,231,955,481,961,725,863,615,977,635,828,741,666,830,667,1004,660,995,728,484,387,308,279,337,229,193,278,150,209
어린이대공원역3번출구,127.0751469149,37.5468045831,465,181,7,8,0,0,0,0,0,0,20,13,516,227,1268,560,2614,780,1154,422,665,445,711,500,845,418,1032,428,1153,463,1122,392,1378,404,1649,843,1788,1028,1698,666,1464,502,1390,490,1464,522,1001,277
어린이대공원후문,127.0905075507,37.5508666828,0,0,0,0,0,0,0,0,207,285,245,223,406,372,1681,716,1747,988,1248,930,877,799,762,857,1070,877,1271,988,1166,930,1387,1204,1688,1503,1791,1325,2088,1677,2034,1454,1570,1047,1408,962,1321,822,498,319
어린이대공원후문아차산역,127.08968167825,37.551981683950004,1266,2012,381,600,108,117,93,109,1928,413,3939,2314,4815,3312,8056,6171,12497,9514,8181,7743,6477,6820,6446,7060,7204,7075,7690,7242,8101,7056,8544,8374,9496,10022,10094,10083,10144,11943,8047,9115,6647,6632,5845,5867,4871,5401,2884,3111
어린이회관,127.07939815649999,37.5454421114,46,193,0,1,0,0,0,0,3,2,79,161,148,384,366,1297,352,2691,399,1231,273,893,303,1046,432,928,450,942,562,1042,631,1075,656,1215,513,1346,470,1805,399,1386,321,973,311,891,349,1049,127,522
영동대교북단,127.06096405275,37.53682855525,688,1297,200,400,57,165,61,151,98,345,340,773,1076,1084,1494,1352,1911,1974,1352,1568,1023,1226,903,1360,1109,1856,1197,2142,1373,2647,1522,3347,1757,3592,2073,4348,2286,5995,1810,4839,1678,3735,1785,4483,1730,4435,1202,2394
